id,Week,Day,Date,VisTm,HomeTm,Neut
341,6,09/30/2023,Sat,Coastal Carolina,Georgia Southern,N
342,6,09/30/2023,Sat,East Carolina,Rice,N
343,6,09/30/2023,Sat,Eastern Michigan,Central Michigan,N
344,6,09/30/2023,Sat,Florida,Kentucky,N
345,6,09/30/2023,Sat,Georgia,Auburn,N
346,6,09/30/2023,Sat,Hawaii,Nevada-Las Vegas,N
347,6,09/30/2023,Sat,Houston,Texas Tech,N
348,6,09/30/2023,Sat,Illinois,Purdue,N
349,6,09/30/2023,Sat,Indiana,Maryland,N
350,6,09/30/2023,Sat,Iowa State,Oklahoma,N
351,6,09/30/2023,Sat,Kansas,Texas,N
352,6,09/30/2023,Sat,Louisiana,Minnesota,N
353,6,09/30/2023,Sat,Louisiana State,Mississippi,N
354,6,09/30/2023,Sat,Miami (OH),Kent State,N
355,6,09/30/2023,Sat,Michigan,Nebraska,N
356,6,09/30/2023,Sat,Michigan State,Iowa,N
357,6,09/30/2023,Sat,Missouri,Vanderbilt,N
358,6,09/30/2023,Sat,Nevada,Fresno State,N
359,6,09/30/2023,Sat,New Mexico,Wyoming,N
360,6,09/30/2023,Sat,Northern Illinois,Toledo,N
361,6,09/30/2023,Sat,Notre Dame,Duke,N
362,6,09/30/2023,Sat,Old Dominion,Marshall,N
363,6,09/30/2023,Sat,Oregon,Stanford,N
364,6,09/30/2023,Sat,Penn State,Northwestern,N
365,6,09/30/2023,Sat,Pittsburgh,Virginia Tech,N
366,6,09/30/2023,Sat,San Diego State,Air Force,N
367,6,09/30/2023,Sat,South Alabama,James Madison,N
368,6,09/30/2023,Sat,South Carolina,Tennessee,N
369,6,09/30/2023,Sat,South Florida,Navy,N
370,6,09/30/2023,Sat,Southern California,Colorado,N
371,6,09/30/2023,Sat,Texas A&M,Arkansas,Y
372,6,09/30/2023,Sat,Texas State,Southern Mississippi,N
373,6,09/30/2023,Sat,Troy,Georgia State,N
374,6,09/30/2023,Sat,Utah State,Connecticut,N
375,6,09/30/2023,Sat,Utah Tech,Colorado State,N
376,6,09/30/2023,Sat,Virginia,Boston College,N
377,6,09/30/2023,Sat,Wagner,Rutgers,N
378,6,09/30/2023,Sat,Washington,Arizona,N
379,6,09/30/2023,Sat,West Virginia,Texas Christian,N
380,7,10/04/2023,Wed,Florida International,New Mexico State,N
381,7,10/04/2023,Wed,Jacksonville State,Middle Tennessee State,N
382,7,10/05/2023,Thu,Sam Houston State,Liberty,N
383,7,10/05/2023,Thu,Western Kentucky,Louisiana Tech,N
384,7,10/06/2023,Fri,Kansas State,Oklahoma State,N
385,7,10/06/2023,Fri,Nebraska,Illinois,N
386,7,10/07/2023,Sat,Alabama,Texas A&M,N
387,7,10/07/2023,Sat,Arizona,Southern California,N
388,7,10/07/2023,Sat,Arkansas,Mississippi,N
389,7,10/07/2023,Sat,Arkansas State,Troy,N
390,7,10/07/2023,Sat,Ball State,Eastern Michigan,N
391,7,10/07/2023,Sat,Boston College,Army,N
392,7,10/07/2023,Sat,Bowling Green,Miami (OH),N
393,7,10/07/2023,Sat,Central Florida,Kansas,N
394,7,10/07/2023,Sat,Central Michigan,Buffalo,N
395,7,10/07/2023,Sat,Colorado,Arizona State,N
396,7,10/07/2023,Sat,Colorado State,Utah State,N
397,7,10/07/2023,Sat,Connecticut,Rice,N
398,7,10/07/2023,Sat,Fresno State,Wyoming,N
399,7,10/07/2023,Sat,Georgia Tech,Miami (FL),N
400,7,10/07/2023,Sat,Howard,Northwestern,N
401,7,10/07/2023,Sat,Kent State,Ohio,N
402,7,10/07/2023,Sat,Kentucky,Georgia,N
403,7,10/07/2023,Sat,Louisiana State,Missouri,N
404,7,10/07/2023,Sat,Marshall,North Carolina State,N
405,7,10/07/2023,Sat,Maryland,Ohio State,N
406,7,10/07/2023,Sat,Michigan,Minnesota,N
407,7,10/07/2023,Sat,North Texas,Navy,N
408,7,10/07/2023,Sat,Northern Illinois,Akron,N
409,7,10/07/2023,Sat,Notre Dame,Louisville,N
410,7,10/07/2023,Sat,Old Dominion,Southern Mississippi,N
411,7,10/07/2023,Sat,Oregon State,California,N
412,7,10/07/2023,Sat,Purdue,Iowa,N
413,7,10/07/2023,Sat,Rutgers,Wisconsin,N
414,7,10/07/2023,Sat,San Jose State,Boise State,N
415,7,10/07/2023,Sat,South Alabama,Louisiana-Monroe,N
416,7,10/07/2023,Sat,South Florida,Alabama-Birmingham,N
417,7,10/07/2023,Sat,Syracuse,North Carolina,N
418,7,10/07/2023,Sat,Texas,Oklahoma,Y
419,7,10/07/2023,Sat,Texas Christian,Iowa State,N
420,7,10/07/2023,Sat,Texas State,Louisiana,N
421,7,10/07/2023,Sat,Texas Tech,Baylor,N
422,7,10/07/2023,Sat,Texas-San Antonio,Temple,N
423,7,10/07/2023,Sat,Toledo,Massachusetts,N
424,7,10/07/2023,Sat,Tulsa,Florida Atlantic,N
425,7,10/07/2023,Sat,Vanderbilt,Florida,N
426,7,10/07/2023,Sat,Virginia Tech,Florida State,N
427,7,10/07/2023,Sat,Wake Forest,Clemson,N
428,7,10/07/2023,Sat,Washington State,UCLA,N
429,7,10/07/2023,Sat,Western Michigan,Mississippi State,N
430,7,10/07/2023,Sat,William & Mary,Virginia,N
431,8,10/10/2023,Tue,Coastal Carolina,Appalachian State,N
432,8,10/10/2023,Tue,Liberty,Jacksonville State,N
433,8,10/10/2023,Tue,Louisiana Tech,Middle Tennessee State,N
434,8,10/11/2023,Wed,Sam Houston State,New Mexico State,N
435,8,10/11/2023,Wed,Texas-El Paso,Florida International,N
436,8,10/12/2023,Thu,Southern Methodist,East Carolina,N
